Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Fouls,Tackles,Inter,OwnG,Drb,Clear,Blocks,Offsides,Fouled,KeyP,Off,UnsTch,Disp,Crosses,AvgP,LongB,ThrB,Shots,xG/Shots,xG,xGDiff,xG/90
1,Bukayo Saka,Arsenal,23,"D(L),M(CLR)",35,2937,16,9,4,-,3.1,83.0,0.7,6,7.67,1.2,1.9,0.4,-,0.9,0.5,0.1,-,2,2.6,0.2,1.6,1.5,1.3,37.4,0.8,-,108.0,0.15,16.23,-0.23,0.5
2,Rodri,Man City,28,"D(C),DMC",34,2937,8,9,8,1,1.8,92.5,1.6,5,7.62,1.2,2.1,0.8,-,0.9,1.2,0.2,-,1,1.4,0.2,0.7,0.9,-,106.9,7.1,0.2,62.0,0.07,4.46,3.54,0.14
3,Michael Olise,Crystal Palace,23,AM(CLR),14(5),1277,10,6,-,-,3,83.1,0.4,6,7.61,0.7,1,0.6,-,0.8,0.5,-,-,2.3,1.9,0.1,2.2,1.7,1.3,32.1,1.3,0.3,57.0,0.11,6.22,3.78,0.44
4,Phil Foden,Man City,24,"AM(CLR),FW",33(2),2869,19,8,2,-,3,89.1,0.2,10,7.55,0.4,0.9,0.4,-,0.5,0.5,-,-,1.7,2.1,0.1,1.8,1.4,0.5,47.7,1.2,0.3,105.0,0.11,11.28,7.72,0.35
5,Cole Palmer,Chelsea,22,"AM(CR),FW",29(4),2618,22,11,7,-,3.3,83.3,-,5,7.48,0.7,0.7,0.6,-,0.3,0.3,0.1,-,0.8,2.2,0.2,1.7,1.3,0.5,39.5,2.1,0.4,109.0,0.16,17.85,4.15,0.61
6,Eberechi Eze,Crystal Palace,26,AM(CLR),24(3),2064,11,4,3,-,3.1,83.7,0.4,5,7.45,1,1.3,0.4,-,0.6,0.1,0.1,-,1.8,2,0.4,2.9,1.8,1.3,29.3,1,0.2,83.0,0.11,9.5,1.5,0.41
7,Erling Haaland,Man City,24,FW,29(2),2559,27,5,1,-,3.9,77.4,1.3,6,7.4,0.6,0.2,0.1,-,-,0.5,-,-,1,0.9,0.2,1.3,0.6,-,12.3,0.1,-,121.0,0.26,30.94,-3.94,1.09
8,Bruno Fernandes,Man Utd,30,"M(CLR),FW",35,3120,10,8,9,-,2.7,79.4,0.6,6,7.39,1.2,1.9,0.8,-,1.7,1.3,0.2,-,0.8,3.3,0.4,1.4,1,1.5,54.6,4.3,0.3,95.0,0.11,10.69,-0.69,0.31
9,Declan Rice,Arsenal,25,"D(C),DMC",37(1),3232,7,8,5,-,1.5,90.7,1,5,7.38,0.9,2.2,1.2,-,0.7,1.3,0.3,0.1,0.3,1.2,0.1,0.8,0.6,0.6,58.6,2.1,-,58.0,0.07,3.79,3.21,0.11
10,Bruno Guimarães,Newcastle,27,DMC,37,3269,7,8,9,-,1.3,85.0,0.5,6,7.37,1.4,2.4,0.9,-,1,0.5,0.4,-,2.9,1.7,-,1.6,1.9,0.3,61.2,3.5,0.3,48.0,0.1,4.6,2.4,0.13
11,Martin Ødegaard,Arsenal,26,AM(CR),35,3104,8,10,2,-,2.2,86.8,0.1,5,7.37,0.9,1.4,0.4,-,1.2,0.1,-,-,1,2.9,0.1,1.5,1.7,0.9,54.3,1.3,0.6,77.0,0.11,8.68,-0.68,0.25
12,Son Heung-Min,Tottenham,32,"M(CLR),FW",34(1),2948,17,10,1,-,2.4,85.1,0.1,6,7.3,0.3,0.6,0.2,1,0.3,0.1,-,-,1.1,1.9,0.6,1.6,1.2,0.1,29.3,0.3,0.3,85.0,0.15,12.98,4.02,0.4
