Rank,Player,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
1,Bukayo Saka,Arsenal,23,"D(L),M(CLR)",35,2937,9,2.6,37.4,83,1.3,0.8,-,7.67
2,Rodri,Man City,28,"D(C),DMC",34,2937,9,1.4,106.9,92.5,-,7.1,0.2,7.62
3,Michael Olise,Crystal Palace,23,AM(CLR),14(5),1277,6,1.9,32.1,83.1,1.3,1.3,0.3,7.61
4,Phil Foden,Man City,24,"AM(CLR),FW",33(2),2869,8,2.1,47.7,89.1,0.5,1.2,0.3,7.55
5,Cole Palmer,Chelsea,22,"AM(CR),FW",29(4),2618,11,2.2,39.5,83.3,0.5,2.1,0.4,7.48
6,Eberechi Eze,Crystal Palace,26,AM(CLR),24(3),2064,4,2,29.3,83.7,1.3,1,0.2,7.45
7,Erling Haaland,Man City,24,FW,29(2),2559,5,0.9,12.3,77.4,-,0.1,-,7.40
8,Bruno Fernandes,Man Utd,30,"M(CLR),FW",35,3120,8,3.3,54.6,79.4,1.5,4.3,0.3,7.39
9,Declan Rice,Arsenal,25,"D(C),DMC",37(1),3232,8,1.2,58.6,90.7,0.6,2.1,-,7.38
10,Bruno Guimarães,Newcastle,27,DMC,37,3269,8,1.7,61.2,85,0.3,3.5,0.3,7.37
11,Martin Ødegaard,Arsenal,26,AM(CR),35,3104,10,2.9,54.3,86.8,0.9,1.3,0.6,7.37
12,Son Heung-Min,Tottenham,32,"M(CLR),FW",34(1),2948,10,1.9,29.3,85.1,0.1,0.3,0.3,7.30
13,Anthony Gordon,Newcastle,23,"AM(CLR),FW",34(1),2906,10,1.6,26.3,81.8,0.9,0.8,0.1,7.29
14,Ollie Watkins,Aston Villa,29,"AM(LR),FW",37,3227,13,1.2,15.9,76.8,0.1,0.1,0.1,7.27
15,Jérémy Doku,Man City,22,M(LR),18(11),1596,8,1.6,27.1,86,0.4,0.5,-,7.24
16,Mohamed Salah,Liverpool,32,"AM(CLR),FW",28(4),2536,10,2.1,29.2,75.7,0.3,0.8,0.3,7.24
17,Mohammed Kudus,West Ham,24,"M(CLR),FW",27(6),2488,6,0.8,23.4,84.5,0.6,1.3,-,7.23
18,James Maddison,Tottenham,28,AM(CLR),26(2),2155,9,2.4,48.1,87.4,0.8,1.5,0.3,7.17
19,Kai Havertz,Arsenal,25,"M(CR),FW",30(7),2641,7,1.2,25.2,81.1,0.1,0.2,0.1,7.16
20,Bernardo Silva,Man City,30,"M(CLR),FW",29(4),2582,9,1.9,55.3,89.4,0.5,1.8,-,7.15
21,Virgil van Dijk,Liverpool,33,D(C),36,3178,2,0.3,79.8,91.5,-,4.3,-,7.15
22,Alexander Isak,Newcastle,25,"AM(L),FW",27(3),2267,2,0.9,15.8,80,-,0.3,-,7.14
23,Pascal Groß,Brighton,33,"D(LR),M(CR),FW",34(2),3114,10,2.9,81.3,90.2,2.5,2.7,-,7.13
