Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,Bukayo Saka,Arsenal,23,"D(L),M(CLR)",35,2937,16,9,4,-,3.1,83,0.7,6,7.67
2,Rodri,Man City,28,"D(C),DMC",34,2937,8,9,8,1,1.8,92.5,1.6,5,7.62
3,Michael Olise,Crystal Palace,23,AM(CLR),14(5),1277,10,6,-,-,3,83.1,0.4,6,7.61
4,Phil Foden,Man City,24,"AM(CLR),FW",33(2),2869,19,8,2,-,3,89.1,0.2,10,7.55
5,Cole Palmer,Chelsea,22,"AM(CR),FW",29(4),2618,22,11,7,-,3.3,83.3,-,5,7.48
6,Eberechi Eze,Crystal Palace,26,AM(CLR),24(3),2064,11,4,3,-,3.1,83.7,0.4,5,7.45
7,Erling Haaland,Man City,24,FW,29(2),2559,27,5,1,-,3.9,77.4,1.3,6,7.40
8,Bruno Fernandes,Man Utd,30,"M(CLR),FW",35,3120,10,8,9,-,2.7,79.4,0.6,6,7.39
9,Declan Rice,Arsenal,25,"D(C),DMC",37(1),3232,7,8,5,-,1.5,90.7,1,5,7.38
10,Bruno Guimarães,Newcastle,27,DMC,37,3269,7,8,9,-,1.3,85,0.5,6,7.37
11,Martin Ødegaard,Arsenal,26,AM(CR),35,3104,8,10,2,-,2.2,86.8,0.1,5,7.37
12,Son Heung-Min,Tottenham,32,"M(CLR),FW",34(1),2948,17,10,1,-,2.4,85.1,0.1,6,7.30
13,Anthony Gordon,Newcastle,23,"AM(CLR),FW",34(1),2906,11,10,10,1,2.3,81.8,0.3,4,7.29
14,Ollie Watkins,Aston Villa,29,"AM(LR),FW",37,3227,19,13,4,-,2.9,76.8,1.4,7,7.27
15,Jérémy Doku,Man City,22,M(LR),18(11),1596,3,8,3,-,1.9,86,0.1,5,7.24
16,Mohamed Salah,Liverpool,32,"AM(CLR),FW",28(4),2536,18,10,2,-,3.6,75.7,0.2,4,7.24
17,Mohammed Kudus,West Ham,24,"M(CLR),FW",27(6),2488,8,6,6,-,2,84.5,0.5,6,7.23
18,James Maddison,Tottenham,28,AM(CLR),26(2),2155,4,9,5,-,2.1,87.4,0.1,1,7.17
19,Kai Havertz,Arsenal,25,"M(CR),FW",30(7),2641,13,7,11,-,1.9,81.1,2.8,3,7.16
20,Bernardo Silva,Man City,30,"M(CLR),FW",29(4),2582,6,9,8,-,1,89.4,0.1,2,7.15
21,Virgil van Dijk,Liverpool,33,D(C),36,3178,2,2,3,1,1.3,91.5,3.9,1,7.15
22,Alexander Isak,Newcastle,25,"AM(L),FW",27(3),2267,21,2,1,-,2.6,80,0.3,3,7.14
23,Pascal Groß,Brighton,33,"D(LR),M(CR),FW",34(2),3114,4,10,7,-,1.5,90.2,0.4,6,7.13
24,Conor Gallagher,Chelsea,24,M(CL),37,3137,5,7,7,1,1.3,91.5,0.7,1,7.13
25,Matheus Cunha,Wolves,25,"AM(CL),FW",29(3),2454,12,7,9,-,2.3,81.6,0.5,5,7.13
26,Andy Robertson,Liverpool,30,"D(L),M(L)",18(5),1693,3,2,2,-,0.5,87.7,0.6,-,7.12
27,Trent Alexander-Arnold,Liverpool,26,"D(R),DMC,M(R)",25(3),2161,3,4,6,-,1.7,79.6,0.3,3,7.12
28,Julián Alvarez,Man City,24,"AM(CLR),FW",31(5),2660,11,9,2,-,2.7,87.9,0.1,1,7.10
29,Jarrod Bowen,West Ham,28,"AM(CLR),FW",34,3021,16,6,2,-,2.5,75.1,1,2,7.10
30,Diogo Jota,Liverpool,28,"AM(CLR),FW",14(7),1151,10,3,1,1,2,74.5,0.9,1,7.09
31,Alexis Mac Allister,Liverpool,26,"M(CL),FW",31(2),2612,5,5,7,1,1.3,87.8,0.9,2,7.09
32,Luis Díaz,Liverpool,27,"AM(LR),FW",32(5),2646,8,5,3,-,2.5,85.3,0.7,3,7.09
33,James Tarkowski,Everton,32,D(C),38,3420,1,1,11,-,0.7,77.8,3.8,5,7.08
34,Nicolas Jackson,Chelsea,23,FW,31(4),2810,14,5,10,-,2.3,78,1,3,7.07
35,Kieran Trippier,Newcastle,34,"D(LR),M(R)",26(2),2240,1,10,5,-,0.3,79.7,1.1,3,7.07
36,Ross Barkley,Luton,31,M(CLR),30(2),2622,5,4,6,-,2.1,84.5,1.4,1,7.05
37,Lucas Paquetá,West Ham,27,"M(CLR),FW",31,2638,4,6,10,-,1.4,75.2,2,-,7.04
38,Pedro Porro,Tottenham,25,"D(R),M(R)",35,3093,3,7,3,-,1.5,79.6,0.5,3,7.04
39,João Palhinha,Fulham,29,DMC,31(2),2711,4,1,13,-,1.4,83,1.2,2,7.04
40,Dominic Solanke,Bournemouth,27,FW,37(1),3333,19,3,3,-,2.9,73.7,2.6,3,7.03
41,Josko Gvardiol,Man City,22,D(CL),26(2),2330,4,1,3,-,1.1,88.3,1.1,1,7.03
42,Cristian Romero,Tottenham,26,D(C),33,2793,5,-,7,1,0.7,91.9,2.7,1,7.03
43,Bryan Mbeumo,Brentford,25,"AM(LR),FW",22(3),1960,9,6,2,-,2.1,72.3,0.9,3,7.02
44,Morgan Gibbs-White,Nottingham Forest,24,"AM(CLR),FW",35(2),3164,5,10,9,-,1.9,76.9,1.6,2,7.00
45,James Ward-Prowse,West Ham,30,M(CR),34(3),3006,7,7,4,-,1.2,89.6,0.7,4,6.99
46,Jacob Murphy,Newcastle,29,"D(R),M(LR)",14(7),1194,3,7,1,-,1.4,73.6,0.2,1,6.99
47,Gabriel Magalhães,Arsenal,27,D(C),34(2),3044,4,-,4,-,0.9,89.1,2.2,1,6.99
48,Pedro Neto,Wolves,24,"AM(CLR),FW",18(2),1521,2,9,4,-,1.8,83.4,0.2,1,6.99
49,John McGinn,Aston Villa,30,M(CLR),35,3010,6,4,9,1,1.1,82.7,0.3,3,6.98
50,Dwight McNeil,Everton,25,M(CLR),33(2),2900,3,6,2,-,1.6,78.3,0.5,3,6.97
51,Casemiro,Man Utd,32,"D(C),DMC",24(1),1987,1,2,7,-,1.6,82.6,1.7,1,6.97
52,Leon Bailey,Aston Villa,27,"M(CLR),FW",22(13),2080,10,9,5,-,1.5,78.2,0.4,3,6.96
53,Dejan Kulusevski,Tottenham,24,"AM(CR),FW",31(5),2767,8,3,7,-,1.6,81.9,0.2,3,6.96
54,Alphonse Areola,West Ham,31,GK,31,2702,-,-,1,-,-,59.3,0.4,4,6.96
55,Diogo Dalot,Man Utd,25,"D(LR),M(LR)",35(1),3174,2,3,4,1,0.8,83.8,0.9,1,6.96
56,Douglas Luiz,Aston Villa,26,M(C),35,3003,9,5,12,-,1.4,89.4,0.7,3,6.95
57,Willy-Arnaud Boly,Nottingham Forest,33,D(C),18(2),1443,2,1,1,1,0.7,77.1,2.9,1,6.94
58,Dan Burn,Newcastle,32,"D(CL),M(L)",32(1),2733,2,2,4,-,0.7,81.1,3.1,1,6.94
59,João Pedro,Brighton,23,"AM(CL),FW",19(12),2046,9,3,2,-,2.4,82.7,1.3,3,6.93
60,Ben White,Arsenal,27,"D(CR),DMC",35(2),2995,4,4,8,-,0.4,86.7,1,-,6.93
61,Antonee Robinson,Fulham,27,"D(L),M(L)",37,3269,-,6,6,-,0.4,75.9,1.1,1,6.92
62,Jarrad Branthwaite,Everton,22,D(C),35,3117,3,-,8,-,0.4,80.1,2.7,-,6.90
63,Gabriel Jesus,Arsenal,27,"AM(LR),FW",17(10),1482,4,5,6,-,2,81,0.6,2,6.89
64,Gabriel Martinelli,Arsenal,23,"AM(LR),FW",24(11),2031,6,4,1,-,1.7,85,0.5,1,6.89
65,Ryan Christie,Bournemouth,29,"M(CLR),FW",35(2),2922,-,5,6,-,1.2,79.3,0.6,2,6.89
66,Darwin Núñez,Liverpool,25,"AM(CL),FW",22(14),2050,11,8,9,-,3,71.6,0.9,-,6.89
67,Tomás Soucek,West Ham,29,M(C),34(3),2876,7,2,7,-,1.2,75.7,2.9,3,6.88
68,Kaoru Mitoma,Brighton,27,M(L),15(4),1488,3,4,4,-,1.8,83.4,0.6,1,6.88
69,Ethan Pinnock,Brentford,31,D(C),28(1),2521,2,-,1,-,0.7,84,3.9,1,6.88
70,Jean-Philippe Mateta,Crystal Palace,27,FW,25(10),2285,16,5,3,-,1.3,73.8,1.4,2,6.88
71,Antoine Semenyo,Bournemouth,24,"AM(LR),FW",25(8),2113,8,2,6,-,2.1,74.3,1.6,3,6.88
72,Joachim Andersen,Crystal Palace,28,D(C),38,3418,2,3,7,-,0.6,79.5,2.4,4,6.88
73,Yoane Wissa,Brentford,28,"AM(L),FW",29(5),2509,12,3,7,-,2,73.2,1.1,2,6.87
74,Cody Gakpo,Liverpool,25,"AM(CLR),FW",17(18),1646,8,5,1,-,1.9,79.3,0.9,2,6.87
75,Harry Maguire,Man Utd,31,D(C),18(4),1651,2,2,4,-,0.9,83.4,3.1,-,6.87
76,Marcus Tavernier,Bournemouth,25,M(CLR),25(5),2134,3,4,3,-,1.8,79.3,0.4,1,6.86
77,Simon Adingra,Brighton,22,"M(LR),FW",25(6),2233,6,1,3,-,1.7,81.1,0.3,3,6.86
78,Mario Lemina,Wolves,31,"D(C),M(C)",34(1),2976,4,1,10,1,1.4,86.7,1,2,6.85
79,Moisés Caicedo,Chelsea,23,"D(R),DMC",33(2),2875,1,3,11,-,0.4,90.8,0.9,2,6.85
80,William Saliba,Arsenal,23,D(C),38,3420,2,1,4,-,0.3,92.6,1.9,2,6.85
81,Vitalii Mykolenko,Everton,25,"D(CL),M(L)",28,2472,2,-,1,-,0.9,74.9,1.1,2,6.85
82,Jordan Ayew,Crystal Palace,33,"AM(CLR),FW",30(5),2551,4,7,7,1,1.4,80.6,1,3,6.85
83,Kyle Walker,Man City,34,"D(CR),M(R)",30(2),2767,-,4,2,-,0.5,90.4,0.8,-,6.85
84,André Onana,Man Utd,28,GK,38,3420,-,-,5,-,-,70.4,0.4,2,6.84
85,Noni Madueke,Chelsea,22,"AM(R),FW",13(10),1057,5,2,2,-,1.4,88.5,0.3,2,6.84
86,James Garner,Everton,23,M(CR),34(3),3006,1,2,7,-,1.1,82.8,0.7,-,6.84
87,Ibrahima Konaté,Liverpool,25,D(C),17(5),1571,-,-,3,1,0.5,88,3.5,-,6.84
88,Richarlison,Tottenham,27,"AM(CLR),FW",18(10),1493,11,4,3,-,2.2,70.9,0.9,1,6.83
89,Rúben Dias,Man City,27,D(C),28(2),2558,-,-,-,-,0.7,94.1,1.6,-,6.83
90,Idrissa Gueye,Everton,35,M(C),24(1),1896,4,-,8,-,1,85.6,0.6,1,6.83
91,Lewis Cook,Bournemouth,27,M(CL),32(1),2792,-,3,5,1,0.4,81.2,1.3,2,6.83
92,Martin Dúbravka,Newcastle,35,GK,22(1),1984,-,-,1,-,-,74.9,0.2,2,6.83
93,Alfie Doughty,Luton,25,"D(L),M(LR)",34(3),2938,2,8,5,-,0.7,75.2,0.6,2,6.83
94,Leandro Trossard,Arsenal,30,"M(CLR),FW",18(16),1647,12,1,2,-,1.8,78.7,0.2,1,6.82
95,Oliver McBurnie,Sheff Utd,28,"AM(CL),FW",15(6),1287,6,3,3,2,1.6,60.3,5.4,2,6.82
96,Jefferson Lerma,Crystal Palace,30,"D(CR),DMC",27(1),2404,1,1,8,-,1.2,82.4,2.5,1,6.82
97,Levi Colwill,Chelsea,21,D(CL),20(3),1800,1,1,2,-,0.5,83.4,1.9,2,6.82
98,Marc Cucurella,Chelsea,26,"D(CL),M(L)",20(1),1786,-,2,10,-,0.4,86.7,1.2,-,6.81
99,Dominik Szoboszlai,Liverpool,24,AM(CLR),25(8),2110,3,2,1,-,1.8,87.3,0.4,1,6.81
100,Craig Dawson,Wolves,34,D(CR),25,2211,1,1,7,-,0.6,86.7,2.5,2,6.81
