Rank,Player,Team,Age,Position,Apps,Mins,xG,Goals,xGDiff,xG/90,Shots,xG/Shots,Rating
1,Bukayo Saka,Arsenal,23,"D(L),M(CLR)",35,2937,16.23,16,-0.23,0.5,108,0.15,7.67
2,Rodri,Man City,28,"D(C),DMC",34,2937,4.46,8,3.54,0.14,62,0.07,7.62
3,Michael Olise,Crystal Palace,23,AM(CLR),14(5),1277,6.22,10,3.78,0.44,57,0.11,7.61
4,Phil Foden,Man City,24,"AM(CLR),FW",33(2),2869,11.28,19,7.72,0.35,105,0.11,7.55
5,Cole Palmer,Chelsea,22,"AM(CR),FW",29(4),2618,17.85,22,4.15,0.61,109,0.16,7.48
6,Eberechi Eze,Crystal Palace,26,AM(CLR),24(3),2064,9.5,11,1.5,0.41,83,0.11,7.45
7,Erling Haaland,Man City,24,FW,29(2),2559,30.94,27,-3.94,1.09,121,0.26,7.40
8,Bruno Fernandes,Man Utd,30,"M(CLR),FW",35,3120,10.69,10,-0.69,0.31,95,0.11,7.39
9,Declan Rice,Arsenal,25,"D(C),DMC",37(1),3232,3.79,7,3.21,0.11,58,0.07,7.38
10,Bruno Guimarães,Newcastle,27,DMC,37,3269,4.6,7,2.4,0.13,48,0.1,7.37
11,Martin Ødegaard,Arsenal,26,AM(CR),35,3104,8.68,8,-0.68,0.25,77,0.11,7.37
12,Son Heung-Min,Tottenham,32,"M(CLR),FW",34(1),2948,12.98,17,4.02,0.4,85,0.15,7.30
13,Anthony Gordon,Newcastle,23,"AM(CLR),FW",34(1),2906,11.8,11,-0.8,0.37,81,0.15,7.29
14,Ollie Watkins,Aston Villa,29,"AM(LR),FW",37,3227,20.06,19,-1.06,0.56,107,0.19,7.27
15,Jérémy Doku,Man City,22,M(LR),18(11),1596,3.69,3,-0.69,0.21,55,0.07,7.24
16,Mohamed Salah,Liverpool,32,"AM(CLR),FW",28(4),2536,22.17,18,-4.17,0.79,114,0.19,7.24
17,Mohammed Kudus,West Ham,24,"M(CLR),FW",27(6),2488,5.52,8,2.48,0.2,67,0.08,7.23
18,James Maddison,Tottenham,28,AM(CLR),26(2),2155,6.16,4,-2.16,0.26,58,0.11,7.17
19,Kai Havertz,Arsenal,25,"M(CR),FW",30(7),2641,13.59,13,-0.59,0.46,69,0.2,7.16
20,Bernardo Silva,Man City,30,"M(CLR),FW",29(4),2582,3.99,6,2.01,0.14,34,0.12,7.15
21,Virgil van Dijk,Liverpool,33,D(C),36,3178,3.73,2,-1.73,0.11,45,0.08,7.15
22,Alexander Isak,Newcastle,25,"AM(L),FW",27(3),2267,22.06,21,-1.06,0.88,78,0.28,7.14
23,Pascal Groß,Brighton,33,"D(LR),M(CR),FW",34(2),3114,6.41,4,-2.41,0.19,55,0.12,7.13
24,Conor Gallagher,Chelsea,24,M(CL),37,3137,4.89,5,0.11,0.14,48,0.1,7.13
25,Matheus Cunha,Wolves,25,"AM(CL),FW",29(3),2454,10.52,12,1.48,0.39,73,0.14,7.13
26,Andy Robertson,Liverpool,30,"D(L),M(L)",18(5),1693,1.96,3,1.04,0.1,12,0.16,7.12
27,Trent Alexander-Arnold,Liverpool,26,"D(R),DMC,M(R)",25(3),2161,2.64,3,0.36,0.11,47,0.06,7.12
28,Julián Alvarez,Man City,24,"AM(CLR),FW",31(5),2660,13.71,11,-2.71,0.46,98,0.14,7.10
29,Jarrod Bowen,West Ham,28,"AM(CLR),FW",34,3021,13.04,16,2.96,0.39,84,0.16,7.10
30,Diogo Jota,Liverpool,28,"AM(CLR),FW",14(7),1151,6.52,10,3.48,0.51,41,0.16,7.09
31,Alexis Mac Allister,Liverpool,26,"M(CL),FW",31(2),2612,3.89,5,1.11,0.13,44,0.09,7.09
32,Luis Díaz,Liverpool,27,"AM(LR),FW",32(5),2646,13.04,8,-5.04,0.44,94,0.14,7.09
33,James Tarkowski,Everton,32,D(C),38,3420,3.38,1,-2.38,0.09,25,0.14,7.08
34,Nicolas Jackson,Chelsea,23,FW,31(4),2810,18.66,14,-4.66,0.6,80,0.23,7.07
35,Kieran Trippier,Newcastle,34,"D(LR),M(R)",26(2),2240,0.77,1,0.23,0.03,8,0.1,7.07
36,Ross Barkley,Luton,31,M(CLR),30(2),2622,4.74,5,0.26,0.16,66,0.07,7.05
37,Lucas Paquetá,West Ham,27,"M(CLR),FW",31,2638,4.96,4,-0.96,0.17,42,0.12,7.04
38,Pedro Porro,Tottenham,25,"D(R),M(R)",35,3093,3.02,3,-0.02,0.09,53,0.06,7.04
39,João Palhinha,Fulham,29,DMC,31(2),2711,3.34,4,0.66,0.11,45,0.07,7.04
40,Dominic Solanke,Bournemouth,27,FW,37(1),3333,20.47,19,-1.47,0.55,109,0.19,7.03
41,Josko Gvardiol,Man City,22,D(CL),26(2),2330,3.13,4,0.87,0.12,32,0.1,7.03
42,Cristian Romero,Tottenham,26,D(C),33,2793,4.5,5,0.5,0.15,24,0.19,7.03
43,Bryan Mbeumo,Brentford,25,"AM(LR),FW",22(3),1960,10.48,9,-1.48,0.48,53,0.2,7.02
44,Morgan Gibbs-White,Nottingham Forest,24,"AM(CLR),FW",35(2),3164,6.64,5,-1.64,0.19,71,0.09,7.00
45,James Ward-Prowse,West Ham,30,M(CR),34(3),3006,5.7,7,1.3,0.17,44,0.13,6.99
