Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
Crystal Palace,12.1,20.7,8.5,12,1.9,6.71
Everton,14.2,19.6,9.4,12,2.3,6.68
Wolves,15.2,19.4,7.5,12.5,2.1,6.61
Nottingham Forest,13.4,19.2,8.7,11.3,2,6.57
Tottenham,12.8,19.1,9.3,11.2,2.2,6.72
Sheffield United,17.8,18.7,9.1,11.1,1.7,6.36
Bournemouth,14.1,18.2,9.4,13.3,1.5,6.62
West Ham,17.2,18,9.5,10.3,1.9,6.70
Fulham,13.8,17.9,9.8,10.1,1.3,6.61
Liverpool,10.9,17.8,7.7,12.2,2.6,6.86
Brentford,14.4,17.8,9.9,10.1,1.8,6.61
Manchester United,17.6,17.8,8.2,10.6,2.4,6.69
Chelsea,14.6,17.4,7.8,11.7,2.2,6.74
Newcastle,14.1,17.4,7.5,10.2,1.6,6.78
Luton,17.4,17.2,8.6,11.7,1.8,6.54
Brighton,12.3,16.9,7.6,10.9,2.2,6.57
Arsenal,8.5,16.1,7.7,10.3,2.3,6.87
Burnley,16.2,16,7.4,11.3,2,6.47
Aston Villa,12,14.4,6.2,10.8,1.2,6.67
Manchester City,7.7,13.6,6.1,7.6,1.1,6.97
