Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
Manchester City,96,18.2,522,65.4,90.5,8.7,6.97
Arsenal,91,17.3,622,58.4,86.8,13.6,6.87
Liverpool,86,20.8,655,61.3,85.8,15.6,6.86
Newcastle,85,14.5,771,52.2,82.7,12,6.78
Chelsea,77,14.4,1054,59.0,87.5,11.8,6.74
Tottenham,74,15.4,894,62.0,87.4,9.7,6.72
Crystal Palace,57,12,692,41.6,79.2,14.8,6.71
West Ham,60,11.8,763,40.5,79.1,15.3,6.70
Manchester United,57,14.5,811,50.4,82.7,11.6,6.69
Everton,40,13.3,801,40.1,75.6,18.3,6.68
Aston Villa,76,13.6,942,52.8,85.6,8.9,6.67
Bournemouth,54,14.3,793,44.0,77.1,15.7,6.62
Wolves,50,11.3,1004,48.6,82.4,11.8,6.61
Fulham,55,13.2,784,50.3,82.5,13,6.61
Brentford,56,12.4,892,44.9,76.6,16.9,6.61
Nottingham Forest,49,11.9,783,40.1,78.7,15.7,6.57
Brighton,55,14.8,913,60.2,89.0,10.8,6.57
Luton,52,11.4,710,41.8,76.1,17,6.54
Burnley,41,11.4,717,46.9,79.5,15.2,6.47
Sheffield United,35,9.6,955,35.0,72.3,15.9,6.36
